# Категория|Продукт|Базова мярка|Предлагани разфасовки
Сушени гъби|Манатарка сушена|кг|50 г / 100 г / 500 г
Сушени гъби|Пачи крак сушен|кг|20 г / 50 г / 100 г
Сушени гъби|Шийтаке сушено|кг|50 г / 100 г / 500 г
Сушени гъби|Смръчкула сушена|кг|25 г / 50 г / 100 г
Сушени гъби|Кладница сушена|кг|50 г / 100 г / 500 г
Сушени гъби|Черна дървесна гъба Му-ер сушена|кг|25 г / 50 г / 100 г
Сушени гъби|Овчи крак сушен|кг|50 г / 100 г / 500 г
Сушени гъби|Масловка сушена|кг|50 г / 100 г / 500 г
Сушени гъби|Печурка сушена|кг|50 г / 100 г / 500 г
Сушени гъби|Челядинка сушена|кг|50 г / 100 г / 500 г
Сушени гъби|Микс сушени горски гъби|кг|50 г / 100 г / 500 г

Листни подправки|Босилек|кг|50 г / 500 г
Листни подправки|Дафинов лист екстра|кг|50 г / 500 г
Листни подправки|Девесил|кг|50 г / 500 г
Листни подправки|Джоджен|кг|50 г / 500 г
Листни подправки|Естрагон|кг|50 г / 500 г
Листни подправки|Копър връх|кг|50 г / 500 г
Листни подправки|Магданоз|кг|50 г / 500 г
Листни подправки|Майорана|кг|50 г / 500 г
Листни подправки|Мащерка|кг|50 г / 500 г
Листни подправки|Риган|кг|100 г / 500 г
Листни подправки|Розмарин|кг|50 г / 500 г
Листни подправки|Сминдух смлян|кг|100 г / 500 г / 1 кг
Листни подправки|Сминдух листа|кг|50 г / 500 г
Листни подправки|Целина лист|кг|50 г / 500 г
Листни подправки|Чубрица ронена|кг|50 г / 500 г
Листни подправки|Моринга смляна|кг|100 г / 500 г
Листни подправки|Моринга лист|кг|50 г / 500 г
Листни подправки|Сена лист|кг|50 г / 500 г
Листни подправки|Салвия|кг|50 г / 500 г

Сушени зеленчуци|Пащърнак корен|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Пащърнак гранула|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Праз зелен|кг|100 г / 500 г
Сушени зеленчуци|Праз бял|кг|100 г / 500 г
Сушени зеленчуци|Сушен лук гранула|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушен лук прах|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушен лук шайби|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушен чесън гранула|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Лук пържен|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушен чесън шайби|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушен чесън прах|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушени домати парчета|кг|100 г / 500 г
Сушени зеленчуци|Чушка червена цяла|кг|70 г
Сушени зеленчуци|Сушени домати фино смлени|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушени моркови гранулирани|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Сушени моркови парчета|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Целина корен|кг|100 г / 500 г / 1 кг
Сушени зеленчуци|Зелена чушка кълцана|кг|100 г / 500 г
Сушени зеленчуци|Червена чушка кълцана|кг|100 г / 500 г

Натурални подправки|Анасон|кг|100 г / 500 г / 1 кг
Натурални подправки|Анасон звездовиден|кг|100 г / 500 г / 1 кг
Натурални подправки|Бахар зърна|кг|100 г / 500 г
Натурални подправки|Бахар смлян|кг|100 г / 500 г
Натурални подправки|Бял пипер зърна|кг|100 г / 500 г
Натурални подправки|Бял пипер смлян|кг|100 г / 500 г
Натурални подправки|Зелен пипер зърна|кг|50 г / 500 г
Натурални подправки|Индийско орехче зърна|кг|50 г / 500 г
Натурални подправки|Индийско орехче смляно|кг|50 г / 500 г
Натурални подправки|Кардамон зърна екстра|кг|50 г / 500 г
Натурални подправки|Кардамон екстра смлян|кг|50 г / 500 г
Натурални подправки|Кардамон черен|кг|50 г / 500 г
Натурални подправки|Ким зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Ким смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Кимион екстра зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Кимион екстра смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Кориандър зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Кориандър смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Куркума корен|кг|100 г / 500 г / 1 кг
Натурални подправки|Куркума смляна|кг|100 г / 500 г / 1 кг
Натурални подправки|Розов пипер цял плод|кг|50 г / 500 г / 1 кг
Натурални подправки|Синап бял зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Синап бял смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Синап черен зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Черен пипер зърна|кг|100 г / 500 г / 1 кг
Натурални подправки|Черен пипер смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Черен пипер едро смлян|кг|100 г / 500 г / 1 кг
Натурални подправки|Червен пипер сладък млян екстра|кг|100 г / 500 г / 1 кг
Натурални подправки|Лонг пипер|кг|100 г / 500 г
Натурални подправки|Елда|кг|500 г
Натурални подправки|Червен пипер сладък Буковец Експорт|кг|100 г / 500 г / 1 кг
Натурални подправки|Паприка пушена|кг|100 г / 500 г
Натурални подправки|Ашваганда корен|кг|50 г / 500 г
Натурални подправки|Ашваганда смляна|кг|100 г / 500 г
Натурални подправки|Галангал корен|кг|50 г / 500 г
Натурални подправки|Галангал смлян|кг|100 г / 500 г
Натурални подправки|Махлеб смлян|кг|50 г / 500 г
Натурални подправки|Махлеб ядка|кг|500 г

Семена|Копър семе|кг|100 г / 1 кг
Семена|Ленено семе цяло|кг|200 г / 500 г
Семена|Ленено семе смляно|кг|200 г / 500 г
Семена|Ленено семе златно цяло|кг|200 г / 500 г
Семена|Маково семе|кг|100 г / 500 г / 1 кг
Семена|Сусам белен|кг|200 г / 500 г / 1 кг
Семена|Сусам натурален|кг|200 г / 500 г / 1 кг
Семена|Сусам черен|кг|200 г / 500 г / 1 кг
Семена|Чимен зърна|кг|100 г / 500 г
Семена|Чимен смлян|кг|100 г / 500 г
Семена|Нигела|кг|100 г / 500 г / 1 кг
Семена|Нигела смляна|кг|250 г
Семена|Слънчогледово семе белено|кг|500 г
Семена|Тиквено семе белено|кг|500 г
Семена|Чиа|кг|200 г / 500 г / 1 кг
Семена|Киноа|кг|200 г / 500 г / 1 кг
Семена|Фенел|кг|100 г / 500 г / 1 кг
Семена|Амарант|кг|500 г
Семена|Аджвайн|кг|100 г / 500 г
Семена|Аджвайн смлян|кг|100 г / 500 г
Семена|Бял трън|кг|100 г / 500 г
Семена|Босилек семе|кг|100 г / 500 г
Семена|Конопено семе небелено|кг|100 г / 500 г

Чили|Чили едро смляно експорт|кг|1 кг
Чили|Чили фино смляно|кг|100 г / 500 г
Чили|Чили едро смляно|кг|100 г / 500 г / 1 кг
Чили|Чили цяла чушка BIRD'S EYE|кг|50 г / 500 г
Чили|Чили стрипс|кг|50 г
Чили|Чили едро смляно S30|кг|100 г

Подправъчни смеси|Универсален зеленчуков микс|кг|500 г / 1 кг
Подправъчни смеси|Сушени зеленчуци без сол|кг|200 г
Подправъчни смеси|Къри гурме|кг|100 г / 500 г
Подправъчни смеси|Къри сладко|кг|50 г / 500 г
Подправъчни смеси|Къри люто|кг|100 г / 500 г
Подправъчни смеси|Самардала|кг|100 г / 500 г
Подправъчни смеси|Пипер Меланж|кг|100 г / 400 г
Подправъчни смеси|Подправка за агнешко|кг|100 г / 500 г
Подправъчни смеси|Подправка за барбекю|кг|100 г / 500 г
Подправъчни смеси|Подправка за кюфтета|кг|100 г / 500 г
Подправъчни смеси|Подправка за картофи|кг|100 г / 500 г
Подправъчни смеси|Подправка за леща|кг|100 г / 500 г
Подправъчни смеси|Подправка за пиле|кг|100 г / 500 г
Подправъчни смеси|Подправка за пица|кг|100 г / 500 г
Подправъчни смеси|Подправка за пица и паста|кг|100 г / 500 г
Подправъчни смеси|Подправка за свинско|кг|100 г / 500 г
Подправъчни смеси|Подправка за скара|кг|100 г / 500 г
Подправъчни смеси|Подправка за гирос|кг|100 г / 500 г
Подправъчни смеси|Подправка за риба|кг|100 г / 500 г
Подправъчни смеси|Подправка за телешко|кг|100 г / 500 г
Подправъчни смеси|Подправка за фасул|кг|100 г / 500 г
Подправъчни смеси|Хариса|кг|100 г / 500 г
Подправъчни смеси|Персилада|кг|100 г / 500 г
Подправъчни смеси|Подправка за шкембе|кг|100 г / 500 г
Подправъчни смеси|Шарена сол|кг|100 г / 500 г
Подправъчни смеси|Подправка за суджук|кг|350 г
Подправъчни смеси|Подправка за пастърма|кг|200 г
Подправъчни смеси|Тикка масала|кг|100 г / 500 г
Подправъчни смеси|Тандури масала|кг|100 г / 500 г
Подправъчни смеси|Гарам масала|кг|100 г / 500 г
Подправъчни смеси|Заатар|кг|100 г / 500 г
Подправъчни смеси|Бахарат|кг|100 г / 500 г
Подправъчни смеси|5 Китайски подправки|кг|100 г / 500 г
Подправъчни смеси|7 Тайландски подправки|кг|100 г / 500 г
Подправъчни смеси|Каджун|кг|100 г / 500 г
Подправъчни смеси|Подправка за таратор|кг|100 г / 500 г
Подправъчни смеси|Подправка за ориз|кг|100 г / 500 г
Подправъчни смеси|Подправка за турски суджук|кг|400 г
Подправъчни смеси|Универсална подправка по сръбски|кг|200 г / 500 г
Подправъчни смеси|Златно мляко|кг|100 г / 500 г
Подправъчни смеси|Подправка за тиква|кг|100 г / 500 г
Подправъчни смеси|Провансалска подправка|кг|100 г / 500 г
Подправъчни смеси|Микс за коледни сладки|кг|50 г / 100 г
Подправъчни смеси|Микс за греяно вино|кг|20 г
